track_id,student_name,current_score,raw_score,total_frames,dominant_behavior,high_attention_pct,medium_attention_pct,low_attention_pct
1,Student_1,56.7,61.0,26,discussing,0.0,96.2,3.8
3,Student_3,63.8,71.0,42,discussing,0.0,100.0,0.0
