frame,timestamp,behavior,confidence,attention_level,delta,raw_score,smoothed_score,track_id,student_name
459,1775548592.4281769,discussing,0.5270676612854004,MEDIUM,0.5,65.0,57.75,3,Student_3
460,1775548592.4943547,discussing,0.5379356145858765,MEDIUM,0.5,65.5,58.25,3,Student_3
461,1775548592.5602236,discussing,0.4972617030143738,MEDIUM,0.5,66.0,58.75,3,Student_3
462,1775548592.6184356,discussing,0.4971823990345001,MEDIUM,0.5,66.5,59.25,3,Student_3
463,1775548592.6729968,discussing,0.47821974754333496,MEDIUM,0.5,67.0,59.75,3,Student_3
464,1775548592.7296648,discussing,0.5092260241508484,MEDIUM,0.5,67.5,60.25,3,Student_3
465,1775548592.7855532,discussing,0.5118865966796875,MEDIUM,0.5,68.0,60.75,3,Student_3
466,1775548592.851057,discussing,0.47590112686157227,MEDIUM,0.5,68.5,61.25,3,Student_3
467,1775548592.910789,discussing,0.49761563539505005,MEDIUM,0.5,69.0,61.75,3,Student_3
468,1775548592.9663272,discussing,0.49528318643569946,MEDIUM,0.5,69.5,62.25,3,Student_3
469,1775548593.0244114,discussing,0.5002883672714233,MEDIUM,0.5,70.0,62.75,3,Student_3
470,1775548593.0836227,discussing,0.5506641268730164,MEDIUM,0.5,70.5,63.25,3,Student_3
471,1775548593.1596081,discussing,0.568000078201294,MEDIUM,0.5,71.0,63.75,3,Student_3
