               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.027953,            0.037063,            0.020431,             0.27574,             0.58123,             0.29821,             0.22433,            0.023983,             0.02459,            0.024546,            0.002872,            0.002872,            0.002872
                  38,            0.027889,            0.036871,            0.020585,             0.29263,             0.53234,             0.30705,             0.22859,            0.023853,            0.024502,            0.023577,            0.002674,            0.002674,            0.002674
                  39,            0.027942,            0.037504,            0.020455,             0.29128,              0.5738,             0.30862,             0.23076,            0.023545,            0.024464,            0.024196,            0.002476,            0.002476,            0.002476
                  40,            0.027332,            0.036828,            0.019665,             0.29196,              0.5461,             0.30873,             0.23124,             0.02351,            0.024415,            0.023179,            0.002278,            0.002278,            0.002278
                  41,            0.027038,            0.036366,            0.019858,             0.28272,             0.56235,             0.30987,             0.23456,              0.0234,            0.024489,             0.02442,             0.00208,             0.00208,             0.00208
                  42,            0.026657,            0.035832,             0.01944,              0.2823,             0.55729,             0.30074,               0.228,            0.023432,            0.024592,            0.024287,            0.001882,            0.001882,            0.001882
                  43,            0.026807,            0.036526,            0.019731,             0.29004,             0.54635,             0.30285,             0.23024,            0.023607,            0.024726,            0.024916,            0.001684,            0.001684,            0.001684
                  44,            0.026536,            0.035911,            0.018939,             0.28231,             0.55668,             0.29994,             0.22886,            0.023121,            0.024395,             0.02417,            0.001486,            0.001486,            0.001486
                  45,            0.026363,            0.036047,            0.019296,             0.28871,             0.55025,             0.30339,             0.23032,            0.023127,            0.024393,            0.024249,            0.001288,            0.001288,            0.001288
                  46,            0.025998,            0.036521,            0.018273,             0.28714,             0.54189,             0.30388,             0.23275,            0.023043,            0.024485,            0.024388,             0.00109,             0.00109,             0.00109
                  47,            0.025916,            0.035156,            0.018654,             0.28142,             0.55422,             0.30377,             0.23333,            0.023009,            0.024658,            0.024939,            0.000892,            0.000892,            0.000892
                  48,            0.025525,            0.034971,             0.01852,             0.28447,             0.56474,             0.30532,             0.23451,            0.022893,            0.024678,            0.025019,            0.000694,            0.000694,            0.000694
                  49,            0.025394,            0.035095,            0.018805,              0.2825,             0.55073,             0.30639,              0.2363,             0.02277,            0.024935,            0.024785,            0.000496,            0.000496,            0.000496
