               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074299,            0.045708,            0.049491,             0.23397,             0.27887,             0.10119,            0.050999,            0.042027,            0.027645,            0.037862,            0.070014,           0.0033317,           0.0033317
                   1,            0.051455,            0.044979,            0.038597,             0.30945,             0.36216,             0.18347,             0.10499,            0.036036,            0.026694,            0.032318,            0.039794,           0.0064451,           0.0064451
                   2,            0.047426,             0.04423,            0.033989,              0.3186,             0.43609,             0.18567,            0.096952,             0.03665,            0.026432,            0.030044,           0.0093544,           0.0093385,           0.0093385
                   3,            0.044759,            0.044238,            0.032265,             0.32283,             0.43918,             0.21417,             0.12342,            0.033019,            0.026577,            0.029151,             0.00901,             0.00901,             0.00901
                   4,            0.041936,            0.043767,            0.031326,             0.34563,               0.453,             0.22782,             0.14098,            0.032542,            0.026631,            0.028192,             0.00901,             0.00901,             0.00901
                   5,            0.040752,            0.043754,            0.030333,             0.35084,              0.4932,             0.23866,             0.14847,            0.030584,            0.026062,            0.027395,             0.00868,             0.00868,             0.00868
                   6,            0.039287,            0.043991,            0.029413,             0.35583,             0.47393,               0.255,             0.16625,            0.029546,            0.025641,            0.027492,             0.00835,             0.00835,             0.00835
                   7,              0.0388,            0.042379,            0.028796,             0.21808,             0.47887,             0.24297,             0.16398,            0.029528,            0.026018,            0.027331,             0.00802,             0.00802,             0.00802
                   8,            0.037167,            0.042493,            0.027953,             0.23362,             0.50273,             0.25568,             0.16839,            0.029068,            0.025397,            0.026479,             0.00769,             0.00769,             0.00769
                   9,            0.036501,            0.041527,            0.027207,             0.21481,              0.5128,             0.26143,             0.17524,            0.028262,            0.025097,             0.02512,             0.00736,             0.00736,             0.00736
                  10,            0.035874,            0.041688,            0.027036,             0.23841,             0.51735,             0.27041,             0.18379,            0.028428,            0.025239,            0.025624,             0.00703,             0.00703,             0.00703
                  11,            0.035337,            0.042133,            0.026088,             0.23988,             0.54982,             0.27187,             0.18389,            0.027735,            0.025331,            0.024877,              0.0067,              0.0067,              0.0067
                  12,            0.034978,             0.04149,            0.025722,             0.25378,             0.51251,             0.27272,             0.18515,            0.027288,            0.025057,             0.02437,             0.00637,             0.00637,             0.00637
                  13,            0.034405,            0.041328,             0.02505,              0.2562,             0.52161,             0.27415,             0.19235,            0.026862,              0.0253,            0.025746,             0.00604,             0.00604,             0.00604
                  14,            0.033537,            0.040939,            0.025095,             0.25711,             0.52798,               0.283,             0.19741,            0.027678,            0.025391,            0.024972,             0.00571,             0.00571,             0.00571
                  15,            0.033301,            0.040346,            0.024779,             0.26586,             0.52359,              0.2842,             0.19979,            0.026502,            0.024737,            0.024481,             0.00538,             0.00538,             0.00538
                  16,            0.032424,            0.040531,            0.024477,             0.27917,             0.54357,             0.29259,             0.20513,            0.026141,            0.024893,            0.024983,             0.00505,             0.00505,             0.00505
                  17,            0.032026,            0.040067,            0.024077,             0.26555,             0.54747,             0.29214,             0.20787,            0.025547,            0.024585,            0.023942,             0.00472,             0.00472,             0.00472
                  18,            0.031346,            0.039911,            0.023793,             0.28699,             0.52147,             0.28741,             0.20532,            0.025666,            0.025229,            0.024126,             0.00439,             0.00439,             0.00439
                  19,            0.031535,            0.040581,            0.023401,             0.28157,             0.52887,              0.2984,             0.21666,            0.025127,            0.024847,            0.024553,             0.00406,             0.00406,             0.00406
                  20,            0.030576,            0.040129,            0.022236,             0.28317,             0.53583,             0.29353,             0.21314,            0.024956,            0.024646,             0.02412,             0.00373,             0.00373,             0.00373
                  21,            0.030112,            0.039513,            0.022845,              0.2815,             0.53708,             0.29859,             0.21461,              0.0249,            0.024769,            0.023236,              0.0034,              0.0034,              0.0034
                  22,            0.030063,            0.038531,            0.023151,             0.28685,             0.54634,             0.30134,             0.22285,            0.024413,            0.024726,            0.023752,             0.00307,             0.00307,             0.00307
                  23,            0.029884,            0.039058,            0.022604,             0.28279,             0.55563,             0.30306,             0.22392,            0.024333,            0.024649,            0.023653,             0.00274,             0.00274,             0.00274
                  24,            0.029242,            0.038359,            0.022428,             0.28889,             0.54181,             0.29731,             0.21842,             0.02416,             0.02459,            0.024006,             0.00241,             0.00241,             0.00241
                  25,            0.029114,            0.038651,            0.022008,             0.30206,             0.53271,             0.30278,             0.22569,            0.023684,             0.02461,            0.024962,             0.00208,             0.00208,             0.00208
                  26,            0.028285,            0.037965,            0.021863,             0.29818,             0.53455,             0.30231,              0.2237,            0.023628,             0.02459,            0.023862,             0.00175,             0.00175,             0.00175
                  27,            0.028091,            0.037913,            0.021381,             0.28635,             0.54965,             0.30384,             0.22775,            0.023462,            0.024423,            0.023862,             0.00142,             0.00142,             0.00142
                  28,            0.028029,            0.037906,            0.021168,             0.29094,             0.53834,             0.30604,             0.23085,            0.023231,            0.024542,            0.023554,             0.00109,             0.00109,             0.00109
                  29,            0.027452,            0.037663,            0.020838,             0.29829,             0.54183,              0.3053,             0.23096,            0.023089,            0.024426,            0.023688,             0.00076,             0.00076,             0.00076
