timestamp,frame,track_id,student_name,attention_score,raw_score
1775548561.3549044,30,1,Student_1,56.5,62.5
1775548564.0774693,60,1,Student_1,56.67307692307692,61.0
1775548566.1431923,90,1,Student_1,56.67307692307692,61.0
1775548568.1779194,120,1,Student_1,56.67307692307692,61.0
1775548570.2059507,150,1,Student_1,56.67307692307692,61.0
1775548572.2066405,180,1,Student_1,56.67307692307692,61.0
1775548574.1857438,210,1,Student_1,56.67307692307692,61.0
1775548576.1935287,240,1,Student_1,56.67307692307692,61.0
1775548578.4120853,270,1,Student_1,56.67307692307692,61.0
1775548580.5940874,300,1,Student_1,56.67307692307692,61.0
1775548582.719132,330,1,Student_1,56.67307692307692,61.0
1775548584.747007,360,1,Student_1,56.67307692307692,61.0
1775548586.9123216,390,1,Student_1,56.67307692307692,61.0
1775548589.0528586,420,1,Student_1,56.67307692307692,61.0
1775548591.8716693,450,1,Student_1,56.67307692307692,61.0
1775548591.8716693,450,3,Student_3,55.75,61.0
